t1= 11.8231, c1= 3.79204, s= 33.1354, t2= 11.7591, lat=47 07.4496 N, lon=045 23.5438 W, hms=005518, dmy=121018
t1= 11.8238, c1= 3.79208, s= 33.1352, t2= 11.7614, lat=47 07.4770 N, lon=045 23.4267 W, hms=005544, dmy=121018
t1= 11.9081, c1= 3.79811, s= 33.1187, t2= 11.8444, lat=47 07.5002 N, lon=045 22.8111 W, hms=005807, dmy=121018
t1= 11.9090, c1= 3.79815, s= 33.1182, t2= 11.8440, lat=47 07.5014 N, lon=045 22.7157 W, hms=005833, dmy=121018
t1= 11.9092, c1= 3.79801, s= 33.1167, t2= 11.8470, lat=47 07.5114 N, lon=045 22.6162 W, hms=005859, dmy=121018
t1= 11.9089, c1= 3.79782, s= 33.1151, t2= 11.8455, lat=47 07.5291 N, lon=045 22.5161 W, hms=005925, dmy=121018
t1= 11.9106, c1= 3.79787, s= 33.1142, t2= 11.8467, lat=47 07.5524 N, lon=045 22.4181 W, hms=005951, dmy=121018
t1= 11.9113, c1= 3.79785, s= 33.1133, t2= 11.8425, lat=47 07.5744 N, lon=045 22.3157 W, hms=010017, dmy=121018
t1= 11.9102, c1= 3.79757, s= 33.1115, t2= 11.8421, lat=47 07.5911 N, lon=045 22.2072 W, hms=010043, dmy=121018
t1= 11.9073, c1= 3.79708, s= 33.1094, t2= 11.8441, lat=47 07.6077 N, lon=045 22.0972 W, hms=010109, dmy=121018
t1= 11.9072, c1= 3.79689, s= 33.1076, t2= 11.8431, lat=47 07.6269 N, lon=045 21.9930 W, hms=010135, dmy=121018
t1= 11.9080, c1= 3.79687, s= 33.1067, t2= 11.8439, lat=47 07.6475 N, lon=045 21.8944 W, hms=010201, dmy=121018
t1= 11.9077, c1= 3.79675, s= 33.1058, t2= 11.8458, lat=47 07.6690 N, lon=045 21.7951 W, hms=010227, dmy=121018
t1= 11.9088, c1= 3.79671, s= 33.1044, t2= 11.8458, lat=47 07.6914 N, lon=045 21.6906 W, hms=010253, dmy=121018
t1= 11.9099, c1= 3.79673, s= 33.1036, t2= 11.8537, lat=47 07.7162 N, lon=045 21.5888 W, hms=010319, dmy=121018
t1= 11.9107, c1= 3.79673, s= 33.1030, t2= 11.8528, lat=47 07.7391 N, lon=045 21.4869 W, hms=010345, dmy=121018
t1= 11.9172, c1= 3.79729, s= 33.1026, t2= 11.8495, lat=47 07.7657 N, lon=045 21.3869 W, hms=010411, dmy=121018
t1= 11.9170, c1= 3.79722, s= 33.1021, t2= 11.8499, lat=47 07.7922 N, lon=045 21.2850 W, hms=010437, dmy=121018
t1= 11.9157, c1= 3.79708, s= 33.1019, t2= 11.8646, lat=47 07.8174 N, lon=045 21.1817 W, hms=010503, dmy=121018
t1= 11.9160, c1= 3.79700, s= 33.1009, t2= 11.8616, lat=47 07.8468 N, lon=045 21.0803 W, hms=010529, dmy=121018
t1= 11.9237, c1= 3.79773, s= 33.1011, t2= 11.8569, lat=47 07.8750 N, lon=045 20.9795 W, hms=010555, dmy=121018
t1= 11.9242, c1= 3.79762, s= 33.0997, t2= 11.8585, lat=47 07.8965 N, lon=045 20.8833 W, hms=010621, dmy=121018
t1= 11.9254, c1= 3.79545, s= 33.0774, t2= 11.8601, lat=47 07.9168 N, lon=045 20.7857 W, hms=010648, dmy=121018
t1= 11.9249, c1= 3.79537, s= 33.0771, t2= 11.8612, lat=47 07.9402 N, lon=045 20.6843 W, hms=010715, dmy=121018
t1= 11.9250, c1= 3.79537, s= 33.0770, t2= 11.8627, lat=47 07.9642 N, lon=045 20.5866 W, hms=010741, dmy=121018
t1= 11.9252, c1= 3.79535, s= 33.0767, t2= 11.8637, lat=47 07.9876 N, lon=045 20.4850 W, hms=010808, dmy=121018
t1= 11.9266, c1= 3.79545, s= 33.0764, t2= 11.8571, lat=47 08.0071 N, lon=045 20.3839 W, hms=010835, dmy=121018
t1= 11.9279, c1= 3.79557, s= 33.0764, t2= 11.8568, lat=47 08.0256 N, lon=045 20.2867 W, hms=010901, dmy=121018
t1= 11.9250, c1= 3.79520, s= 33.0754, t2= 11.8571, lat=47 08.0465 N, lon=045 20.1880 W, hms=010928, dmy=121018
t1= 11.9222, c1= 3.79491, s= 33.0750, t2= 11.8546, lat=47 08.0738 N, lon=045 20.0906 W, hms=010954, dmy=121018
t1= 11.9218, c1= 3.79482, s= 33.0745, t2= 11.8560, lat=47 08.1010 N, lon=045 19.9944 W, hms=011020, dmy=121018
t1= 11.9207, c1= 3.79467, s= 33.0741, t2= 11.8569, lat=47 08.1238 N, lon=045 19.8981 W, hms=011046, dmy=121018
t1= 11.9207, c1= 3.79462, s= 33.0736, t2= 11.8589, lat=47 08.1419 N, lon=045 19.7956 W, hms=011112, dmy=121018
t1= 11.9214, c1= 3.79463, s= 33.0731, t2= 11.8774, lat=47 08.1669 N, lon=045 19.6904 W, hms=011138, dmy=121018
t1= 11.9221, c1= 3.79468, s= 33.0729, t2= 11.8653, lat=47 08.2030 N, lon=045 19.5915 W, hms=011204, dmy=121018
t1= 11.9283, c1= 3.79525, s= 33.0729, t2= 11.8642, lat=47 08.2414 N, lon=045 19.4907 W, hms=011230, dmy=121018
t1= 11.9306, c1= 3.79541, s= 33.0724, t2= 11.8679, lat=47 08.2811 N, lon=045 19.3890 W, hms=011256, dmy=121018
t1= 11.9300, c1= 3.79529, s= 33.0718, t2= 11.8740, lat=47 08.3198 N, lon=045 19.2914 W, hms=011322, dmy=121018
t1= 11.9309, c1= 3.79539, s= 33.0720, t2= 11.8644, lat=47 08.3568 N, lon=045 19.1948 W, hms=011348, dmy=121018
t1= 11.9350, c1= 3.79576, s= 33.0720, t2= 11.8660, lat=47 08.3928 N, lon=045 19.0994 W, hms=011414, dmy=121018
t1= 11.9326, c1= 3.79553, s= 33.0718, t2= 11.8665, lat=47 08.4371 N, lon=045 19.0036 W, hms=011440, dmy=121018
t1= 11.9314, c1= 3.79543, s= 33.0719, t2= 11.8661, lat=47 08.4805 N, lon=045 18.9038 W, hms=011507, dmy=121018
t1= 11.9475, c1= 3.79568, s= 33.0601, t2= 11.8764, lat=47 08.5195 N, lon=045 18.7949 W, hms=011534, dmy=121018
t1= 11.9430, c1= 3.79527, s= 33.0601, t2= 11.8795, lat=47 08.5515 N, lon=045 18.6775 W, hms=011601, dmy=121018
t1= 11.9421, c1= 3.79518, s= 33.0600, t2= 11.8795, lat=47 08.5715 N, lon=045 18.5576 W, hms=011628, dmy=121018
t1= 11.9438, c1= 3.79527, s= 33.0594, t2= 11.8775, lat=47 08.5876 N, lon=045 18.4362 W, hms=011655, dmy=121018
t1= 11.9445, c1= 3.79522, s= 33.0582, t2= 11.8776, lat=47 08.5958 N, lon=045 18.3160 W, hms=011722, dmy=121018
t1= 11.9439, c1= 3.79507, s= 33.0574, t2= 11.8790, lat=47 08.6056 N, lon=045 18.1969 W, hms=011748, dmy=121018
t1= 11.9437, c1= 3.79500, s= 33.0569, t2= 11.8781, lat=47 08.6194 N, lon=045 18.0745 W, hms=011815, dmy=121018
t1= 11.9443, c1= 3.79493, s= 33.0556, t2= 11.8907, lat=47 08.6348 N, lon=045 17.9561 W, hms=011841, dmy=121018
t1= 11.9465, c1= 3.79513, s= 33.0556, t2= 11.8848, lat=47 08.6485 N, lon=045 17.8344 W, hms=011908, dmy=121018
t1= 11.9525, c1= 3.79560, s= 33.0549, t2= 11.8817, lat=47 08.6579 N, lon=045 17.7175 W, hms=011934, dmy=121018
t1= 11.9495, c1= 3.79525, s= 33.0542, t2= 11.8820, lat=47 08.6676 N, lon=045 17.6001 W, hms=012000, dmy=121018
t1= 11.9474, c1= 3.79500, s= 33.0536, t2= 11.8816, lat=47 08.6782 N, lon=045 17.4874 W, hms=012026, dmy=121018
t1= 11.9476, c1= 3.79499, s= 33.0533, t2= 11.8826, lat=47 08.6958 N, lon=045 17.3716 W, hms=012053, dmy=121018
t1= 11.9470, c1= 3.79489, s= 33.0528, t2= 11.8825, lat=47 08.7184 N, lon=045 17.2605 W, hms=012119, dmy=121018
t1= 11.9473, c1= 3.79486, s= 33.0523, t2= 11.8789, lat=47 08.7383 N, lon=045 17.1505 W, hms=012145, dmy=121018
t1= 11.9479, c1= 3.79483, s= 33.0514, t2= 11.8763, lat=47 08.7603 N, lon=045 17.0428 W, hms=012212, dmy=121018
t1= 11.9458, c1= 3.79460, s= 33.0511, t2= 11.8707, lat=47 08.7756 N, lon=045 16.9367 W, hms=012239, dmy=121018
t1= 11.9424, c1= 3.79419, s= 33.0501, t2= 11.8688, lat=47 08.7853 N, lon=045 16.8308 W, hms=012305, dmy=121018
t1= 11.9374, c1= 3.79366, s= 33.0495, t2= 11.8687, lat=47 08.7995 N, lon=045 16.7253 W, hms=012331, dmy=121018
t1= 11.9351, c1= 3.79342, s= 33.0491, t2= 11.8711, lat=47 08.8168 N, lon=045 16.6199 W, hms=012357, dmy=121018
t1= 11.9249, c1= 3.79171, s= 33.0416, t2= 11.8544, lat=47 08.9322 N, lon=045 16.0563 W, hms=012620, dmy=121018
t1= 11.9217, c1= 3.79132, s= 33.0406, t2= 11.8551, lat=47 08.9545 N, lon=045 15.9471 W, hms=012647, dmy=121018
t1= 11.9213, c1= 3.79114, s= 33.0393, t2= 11.8600, lat=47 08.9728 N, lon=045 15.8450 W, hms=012714, dmy=121018
t1= 11.9243, c1= 3.79143, s= 33.0394, t2= 11.8553, lat=47 08.9891 N, lon=045 15.7518 W, hms=012740, dmy=121018
t1= 11.9269, c1= 3.79155, s= 33.0382, t2= 11.8516, lat=47 09.0076 N, lon=045 15.6542 W, hms=012806, dmy=121018
t1= 11.9243, c1= 3.79124, s= 33.0376, t2= 11.8462, lat=47 09.0299 N, lon=045 15.5547 W, hms=012832, dmy=121018
t1= 11.9219, c1= 3.79092, s= 33.0366, t2= 11.8422, lat=47 09.0501 N, lon=045 15.4560 W, hms=012859, dmy=121018
t1= 11.9186, c1= 3.79053, s= 33.0357, t2= 11.8374, lat=47 09.0712 N, lon=045 15.3581 W, hms=012926, dmy=121018
t1= 11.9121, c1= 3.78982, s= 33.0346, t2= 11.8396, lat=47 09.0910 N, lon=045 15.2611 W, hms=012953, dmy=121018
t1= 11.9082, c1= 3.78937, s= 33.0337, t2= 11.8356, lat=47 09.1146 N, lon=045 15.1614 W, hms=013020, dmy=121018
t1= 11.9067, c1= 3.78907, s= 33.0322, t2= 11.8254, lat=47 09.1444 N, lon=045 15.0522 W, hms=013047, dmy=121018
t1= 11.9022, c1= 3.78849, s= 33.0305, t2= 11.8080, lat=47 09.1792 N, lon=045 14.9382 W, hms=013114, dmy=121018
t1= 11.8935, c1= 3.78742, s= 33.0279, t2= 11.7918, lat=47 09.1898 N, lon=045 14.8140 W, hms=013141, dmy=121018
t1= 11.8791, c1= 3.78578, s= 33.0247, t2= 11.7887, lat=47 09.1856 N, lon=045 14.6815 W, hms=013208, dmy=121018
